0,0,0
1,1068,1774
2,1240,2555
4,1120,2785
5,1076,2865
6,1068,1775
7,1068,1774
8,1038,2891
9,1072,2697
10,1021,2750
11,1027,2599
12,1050,2584
13,1176,2508
14,1108,2502
15,1241,2572
16,0,0
17,1100,2721
18,1239,2763
19,1095,2898
20,1168,2865
21,1425,2970
22,1344,2855
23,1475,2929
24,1566,2911
25,1623,2832
26,1748,2782
27,1820,2669
28,1762,2860
29,1883,2706
30,1794,2971
31,1930,2688
32,1981,2744
33,1979,2569
34,1994,2644
35,1851,2585
36,2067,2928
37,1757,2848
38,1982,2632
39,1891,2546
40,1968,2495
41,1940,2401
42,0,0
43,1941,2325
44,1968,2243
45,1790,2487
46,1786,2491
47,1796,2418
48,1705,2420
49,1676,2384
50,1585,2269
51,1518,2236
52,1509,2217
53,1483,2082
54,1376,2263
55,1287,2218
56,1379,2438
57,1222,2562
58,1023,2176
59,1268,2591
60,1417,2785
61,1163,2559
62,1366,2450
63,1744,2768
64,1003,2184
65,1047,2333
66,957,2339
67,945,2178
68,978,2188
69,1657,1706
70,0,0
71,978,2230
72,1137,2448
73,999,2456
74,1197,1304
75,0,0
76,0,0
77,1110,1770
78,0,0
79,1332,2390
80,0,0
81,1387,2255
82,1340,2186
83,0,0
84,955,2457
85,0,0
86,1345,1837
87,0,0
88,1174,1792
89,0,0
90,1163,1757
91,1062,2013
92,1203,1818
93,1243,1774
94,1254,1904
95,1325,1936
96,1344,1944
97,1367,1974
98,1470,1747
99,1442,1834
100,1596,2078
101,1523,2108
102,1563,2245
103,1574,2431
104,1426,2400
105,1307,2423
106,1747,2768
107,1375,2259
108,1186,2238
109,1137,2093
110,1111,2118
111,1183,1949
112,1121,1924
113,1233,1745
114,1114,1726
115,1172,1628
116,1192,1583
117,1197,1475
118,1171,1417
119,1242,1350
120,1254,1293
121,1130,1214
122,1217,1143
123,1209,1057
124,1291,1036
125,1423,1086
126,1428,948
127,1501,1064
128,1661,1078
129,1633,1145
130,1518,1109
131,1520,1250
132,1402,1130
133,1362,1280
134,1452,1220
135,1372,1320
136,1453,1358
137,1494,1179
138,1564,1240
139,1569,1069
140,1459,1023
141,1576,1026
142,1491,885
143,1479,773
144,1562,877
145,1581,964
146,1705,961
147,1637,1057
148,1723,1126
149,1724,1234
150,0,0
151,1089,2740
152,1052,1988
153,0,0
154,1141,2522
155,1150,2445
156,1001,2448
157,1029,2485
158,0,0
159,0,0
160,1057,2711
161,1049,2730
162,1009,2535
163,1118,2602
164,1169,2486
165,1216,2341
166,1108,2388
167,1285,2378
168,1208,2432
169,1303,2502
170,1227,2598
171,1432,2673
172,1456,2539
173,1553,2607
174,1594,2566
175,1723,2615
176,1502,2755
